Temperature,CrCr,CrFe,CrNb,CrMo,CrTi,CrAl,CrCo,CrC,CrMn,CrSi,CrS,CrB,CrCu,FeCr,FeFe,FeNb,FeMo,FeTi,FeAl,FeCo,FeC,FeMn,FeSi,FeS,FeB,FeCu,NbCr,NbFe,NbNb,NbMo,NbTi,NbAl,NbCo,NbC,NbMn,NbSi,NbS,NbB,NbCu,MoCr,MoFe,MoNb,MoMo,MoTi,MoAl,MoCo,MoC,MoMn,MoSi,MoS,MoB,MoCu,TiCr,TiFe,TiNb,TiMo,TiTi,TiAl,TiCo,TiC,TiMn,TiSi,TiS,TiB,TiCu,AlCr,AlFe,AlNb,AlMo,AlTi,AlAl,AlCo,AlC,AlMn,AlSi,AlS,AlB,AlCu,CoCr,CoFe,CoNb,CoMo,CoTi,CoAl,CoCo,CoC,CoMn,CoSi,CoS,CoB,CoCu,CCr,CFe,CNb,CMo,CTi,CAl,CCo,CC,CMn,CSi,CS,CB,CCu,MnCr,MnFe,MnNb,MnMo,MnTi,MnAl,MnCo,MnC,MnMn,MnSi,MnS,MnB,MnCu,SiCr,SiFe,SiNb,SiMo,SiTi,SiAl,SiCo,SiC,SiMn,SiSi,SiS,SiB,SiCu,SCr,SFe,SNb,SMo,STi,SAl,SCo,SC,SMn,SSi,SS,SB,SCu,BCr,BFe,BNb,BMo,BTi,BAl,BCo,BC,BMn,BSi,BS,BB,BCu,CuCr,CuFe,CuNb,CuMo,CuTi,CuAl,CuCo,CuC,CuMn,CuSi,CuS,CuB,CuCu
1472.0,116669.478,41070.9049,147449.248,40456.41864,205229.96,139511.691,15699.466800000002,-60660.369,78691.287,138147.14500000002,65324.178,51323.46,60107.263000000006,41070.9055,99102.257,103306.29199999999,58132.075000000004,137151.211,87995.965,16742.121,-3844.0017,59782.7618,167029.515,33929.741,64687.515,41184.3645201,147449.244,103306.29199999999,641899.916,108433.07200000001,263108.55,197996.70799999998,64819.254,-212561.733,153059.824,418326.35,250923.891,74629.738,142935.226,40456.4196,58132.076,108433.07299999999,701454.614,173758.807,139780.107,11319.668000000001,-105832.254,71352.551,256750.57,164348.111,42082.79672,70938.082,205229.964,137151.213,263108.556,173758.814,1492551.03,237909.508,89157.678,-72067.59,201393.714,443774.06999999995,302323.281,-42304.134,110037.15100000001,139511.692,87995.965,197996.706,139780.107,237909.5,1254868.848,55155.695999999996,-37017.331,133036.842,420673.69999999995,289917.741,174262.742,58101.682,15699.467000000004,16742.121,64819.25499999999,11319.667000000005,89157.674,55155.695999999996,17789777.523,7661.572000000002,33859.498999999996,118909.081,161798.171,64996.84,73369.323,-60660.366,-3844.0009999999966,-212561.734,-105832.256,-72067.59,-37017.331999999995,7661.572000000002,64576622.887,-17667.278,252180.55,547538.7509999999,47514.7106,162489.846,78691.28700000001,59782.761,153059.827,71352.55,201393.713,133036.84100000001,33859.498,-17667.278599999998,23309453.494,149889.816,202669.371,74877.863,21603.266000000003,138147.146,167029.513,418326.346,256750.57400000002,443774.06999999995,420673.708,118909.082,252180.55699999997,149889.817,5361682.319999999,474241.391,238867.262,256053.136,65324.179000000004,33929.7411,250923.886,164348.114,302323.28,289917.738,161798.173,547538.747,202669.364,474241.39,2313896791.711,75994.743,7896.059000000001,51323.4608,64687.516,74629.73839999999,42082.796700000006,-42304.140000000014,174262.738,64996.840000000004,47514.711,74877.864,238867.27,75994.743,309162194.172,55268.269,60107.263000000006,41184.3642,142935.22999999998,70938.082,110037.1459,58101.682,73369.322,162489.84699999998,21603.266,256053.13,7896.059000000001,55268.268,13398944.196
1472.7309797019193,116557.09700000001,40986.4464,146876.278,40159.47302,204582.06,139374.406,15628.316400000002,-63498.854999999996,78437.76699999999,137661.869,-133055.997,-151319.66,59969.203,40986.446599999996,99086.587,102965.85800000001,57964.428,136768.501,87916.045,16698.0093,-5593.9601,59626.4597,166760.101,-85346.428,-57136.218,41118.3674717,146876.275,102965.85800000001,640038.859,107279.03400000001,260648.5,197483.211,64481.33,-223053.05899999998,152003.589,416510.58999999997,-472219.41,-664118.854,142532.63400000002,40159.472499999996,57964.426999999996,107279.034,701156.729,172385.95400000003,139582.821,11157.399000000001,-111788.452,70778.431,255737.26,-245435.97999999998,-376555.824,70728.07800000001,204582.065,136768.499,260648.50900000002,172385.959,1490157.14,237336.74099999998,88815.615,-84887.887,200158.47900000002,441603.81,-578189.5700000001,-941808.524,109593.089,139374.406,87916.044,197483.209,139582.821,237336.74,1255192.1109999998,55074.955,-39535.113,132795.235,420211.72,114359.59999999999,-5093.5380000000005,57979.368,15628.315999999999,16698.009000000002,64481.33,11157.399000000001,88815.61200000001,55074.954999999994,17798600.846,5980.249999999998,33707.103,118647.408,46583.07000000001,-52723.14600000001,73299.938,-63498.855,-5593.959999999999,-223053.061,-111788.451,-84887.89,-39535.10900000001,5980.25,64272117.491,-23103.722,242893.72999999998,-3223091.23,-3804625.534,160559.554,78437.766,59626.459,152003.584,70778.431,200158.472,132795.235,33707.102,-23103.722,23320458.089,148957.977,-172805.2,-308713.33400000003,21412.221,137661.864,166760.099,416510.58900000004,255737.259,441603.8,420211.721,118647.403,242893.731,148957.972,5362350.8100000005,-166668.168,-415856.404,255731.094,-133055.995,-85346.431,-472219.41099999996,-245435.981,-578189.5700000001,114359.6,46583.067,-3223091.2090000003,-172805.201,-166668.16000000003,2035028006.77,-265142214.834,-123110.89600000001,-151319.665,-57136.21799999999,-664118.851,-376555.821,-941808.56,-5093.537000000011,-52723.14599999999,-3804625.509,-308713.331,-415856.4,-265142223.23,36403499.166,-78561.076,59969.202,41118.3668,142532.638,70728.077,109593.08570000001,57979.367999999995,73299.938,160559.551,21412.221,255731.09999999998,-123110.89499999999,-78561.0755,13405564.834
1472.774086560212,116558.747,40988.2387,146877.66100000002,40160.03968,204584.37,139377.76,15630.2369,-63497.121,78440.696,137664.071,-132960.451,-151265.58299999998,59965.918999999994,40988.2388,99086.677,102968.58300000001,57967.298,136771.724,87919.712,16700.177200000002,-5593.5401,59628.998900000006,166763.183,-85287.683,-57102.122,41120.070861299995,146877.65600000002,102968.582,640281.814,107279.467,260649.94,197487.45799999998,64482.696,-223053.547,152005.619,416514.58,-471994.877,-664051.5210000001,142532.668,40160.0395,57967.297999999995,107279.467,701421.1429999999,172386.424,139590.529,11158.932,-111788.913,70779.424,255740.05,-245272.097,-376479.77099999995,70727.073,204584.36599999998,136771.72,260649.934,172386.423,1490372.8599999999,237341.748,88820.132,-84895.808,200161.679,441607.86,-578020.047,-941830.951,109593.321,139377.76,87919.712,197487.45400000003,139590.529,237341.74,1255030.488,55078.307,-39534.07,132798.75699999998,420216.27,114430.32299999999,-5062.862999999998,57980.84299999999,15630.236999999997,16700.177,64482.69700000001,11158.932,88820.132,55078.307,17798542.345,5979.427999999998,33709.289000000004,118651.915,46633.743,-52698.769,73301.534,-63497.123999999996,-5593.540999999997,-223053.54599999997,-111788.91699999999,-84895.81,-39534.072,5979.428,64238202.383,-23102.761,242899.34,-3221515.577,-3803858.8310000002,160555.978,78440.695,59628.998,152005.62300000002,70779.424,200161.68,132798.756,33709.288,-23102.760000000002,23323697.849,148959.386,-172663.717,-308653.831,21413.046,137664.065,166763.18,416514.574,255740.043,441607.85,420216.268,118651.909,242899.343,148959.381,5362124.93,-166214.46000000002,-415537.37100000004,255733.788,-132960.45400000003,-85287.68,-471994.876,-245272.097,-578020.0399999999,114430.321,46633.746,-3221515.617,-172663.72100000002,-166214.45,2033090863.423,-264970439.231,-123084.50200000001,-151265.58399999997,-57102.122,-664051.5260000001,-376479.767,-941830.94,-5062.862999999998,-52698.769,-3803858.8170000003,-308653.831,-415537.36,-264970436.577,36391146.769,-78563.622,59965.918999999994,41120.0709,142532.671,70727.073,109593.321,57980.843,73301.535,160555.983,21413.047000000002,255733.78999999998,-123084.50200000001,-78563.6236,13404992.808
1472.7740865603328,116558.747,40988.2387,146877.66100000002,40160.03968,204584.37,139377.76,15630.2369,-63497.121,78440.696,137664.071,-132960.451,-151265.58299999998,59965.918999999994,40988.2388,99086.677,102968.58300000001,57967.298,136771.724,87919.712,16700.177200000002,-5593.5401,59628.998900000006,166763.183,-85287.683,-57102.122,41120.070861299995,146877.65600000002,102968.582,640281.814,107279.467,260649.94,197487.45799999998,64482.696,-223053.547,152005.619,416514.58,-471994.877,-664051.5210000001,142532.668,40160.0395,57967.297999999995,107279.467,701421.1429999999,172386.424,139590.529,11158.932,-111788.913,70779.424,255740.05,-245272.097,-376479.77099999995,70727.073,204584.36599999998,136771.72,260649.934,172386.423,1490372.8599999999,237341.748,88820.132,-84895.808,200161.679,441607.86,-578020.047,-941830.951,109593.321,139377.76,87919.712,197487.45400000003,139590.529,237341.74,1255030.488,55078.307,-39534.07,132798.75699999998,420216.27,114430.32299999999,-5062.862999999998,57980.84299999999,15630.236999999997,16700.177,64482.69700000001,11158.932,88820.132,55078.307,17798542.345,5979.427999999998,33709.289000000004,118651.915,46633.743,-52698.769,73301.534,-63497.123999999996,-5593.540999999997,-223053.54599999997,-111788.91699999999,-84895.81,-39534.072,5979.428,64238202.383,-23102.761,242899.34,-3221515.577,-3803858.8310000002,160555.978,78440.695,59628.998,152005.62300000002,70779.424,200161.68,132798.756,33709.288,-23102.760000000002,23323697.849,148959.386,-172663.717,-308653.831,21413.046,137664.065,166763.18,416514.574,255740.043,441607.85,420216.268,118651.909,242899.343,148959.381,5362124.93,-166214.46000000002,-415537.37100000004,255733.788,-132960.45400000003,-85287.68,-471994.876,-245272.097,-578020.0399999999,114430.321,46633.746,-3221515.617,-172663.72100000002,-166214.45,2033090863.423,-264970439.231,-123084.50200000001,-151265.58399999997,-57102.122,-664051.5260000001,-376479.767,-941830.94,-5062.862999999998,-52698.769,-3803858.8170000003,-308653.831,-415537.36,-264970436.577,36391146.769,-78563.622,59965.918999999994,41120.0709,142532.671,70727.073,109593.321,57980.843,73301.535,160555.983,21413.047000000002,255733.78999999998,-123084.50200000001,-78563.6236,13404992.808
1473.34,116587.84899999999,40992.956,146855.878,40170.21136,204599.75,139374.399,15643.0124,-63496.144,78464.48,137662.344,-134561.52899999998,-152864.41999999998,59935.218,40992.9561,99116.63699999999,102959.39600000001,57982.332,136787.179,87919.943,16706.9641,-5622.8281,59640.7024,166780.083,-86005.495,-57801.26499999999,41115.0167398,146855.874,102959.395,640381.11,107257.514,260621.77000000002,197463.212,64467.316999999995,-223196.34199999998,151986.61,416466.25,-480206.02999999997,-672357.016,142497.81,40170.2116,57982.331999999995,107257.514,701695.177,172391.816,139650.322,11173.445,-111856.762,70789.62,255728.4,-248442.15000000002,-379679.946,70721.994,204599.744,136787.17599999998,260621.77000000002,172391.807,1490857.4600000002,237355.782,88857.084,-85039.064,200184.38,441591.58,-583478.77,-947298.266,109588.748,139374.399,87919.943,197463.21000000002,139650.32200000001,237355.78000000003,1255364.122,55075.896,-39538.557,132806.44900000002,420189.64,112965.58,-6546.824999999997,57953.718,15643.013000000003,16706.963999999996,64467.318,11173.446000000004,88857.088,55075.897000000004,17805368.268,5960.947000000002,33719.774000000005,118667.69600000001,46141.270000000004,-53203.079999999994,73292.382,-63496.146,-5622.828000000001,-223196.33999999997,-111856.763,-85039.06000000001,-39538.55799999999,5960.946,64043814.458,-23148.020000000004,242785.26,-3264623.9699999997,-3847573.446,160504.2,78464.48000000001,59640.702,151986.608,70789.62,200184.385,132806.449,33719.773,-23148.019999999997,23332693.72,148946.138,-175523.84999999998,-311543.376,21409.546000000002,137662.348,166780.086,416466.26,255728.407,441591.58999999997,420189.652,118667.699,242785.258,148946.14299999998,5363839.7299999995,-173235.47,-422623.816,255729.95,-134561.52599999998,-86005.494,-480206.03,-248442.14299999998,-583478.77,112965.58300000001,46141.266,-3264623.942,-175523.85,-173235.47999999998,2016075771.3300002,-267154830.14599997,-124769.54000000001,-152864.416,-57801.266,-672357.01,-379679.953,-947298.24,-6546.824999999997,-53203.08,-3847573.442,-311543.37,-422623.81999999995,-267154828.66999996,37301433.854,-80266.36,59935.218,41115.016599999995,142497.80599999998,70721.994,109588.7518,57953.719000000005,73292.381,160504.208,21409.547000000002,255729.95,-124769.543,-80266.35479999999,13410125.47
1474.6799999999998,116656.657,41004.0916,146803.811,40194.105650000005,204635.78,139366.35499999998,15673.241000000002,-63496.413,78520.635,137657.79700000002,-138484.231,-156789.894,59862.412,41004.0916,99187.549,102937.438,58017.859000000004,136823.602,87920.461,16723.0326,-5693.3004,59668.351899999994,166819.907,-87760.876,-59517.02100000001,41103.01001319999,146803.815,102937.438,640614.852,107204.541,260553.12,197405.335,64430.759,-223547.769,151940.705,416349.44999999995,-500333.39499999996,-692739.3779999999,142414.738,40194.105800000005,58017.859,107204.541,702344.642,172403.807,139791.717,11207.762,-112022.559,70813.431,255699.89,-256209.195,-387534.89800000004,70709.754,204635.785,136823.605,260553.13199999998,172403.81199999998,1492005.25,237388.625,88944.473,-85388.29,200237.465,441551.14,-596927.2250000001,-960803.1379999999,109577.514,139366.354,87920.461,197405.332,139791.712,237388.62,1256153.535,55070.173,-39551.818,132824.495,420126.16000000003,109358.925,-10206.573000000004,57889.401,15673.241000000002,16723.033,64430.759,11207.762000000002,88944.47,55070.172999999995,17821526.379,5916.388999999999,33744.56,118704.935,44936.925,-54439.696,73270.685,-63496.415,-5693.300000000003,-223547.76799999998,-112022.558,-85388.29,-39551.815,5916.388999999999,63586299.891,-23259.760000000002,242502.59,-3370225.695,-3954774.0080000004,160378.848,78520.63500000001,59668.353,151940.709,70813.432,200237.46600000001,132824.49599999998,33744.56,-23259.760000000002,23353997.725,148913.927,-182526.445,-318630.628,21401.074999999997,137657.799,166819.905,416349.452,255699.892,441551.14,420126.155,118704.937,242502.59100000001,148913.92799999999,5367900.76,-190525.005,-440097.76800000004,255720.388,-138484.235,-87760.875,-500333.39800000004,-256209.19800000003,-596927.2300000001,109358.929,44936.928,-3370225.7090000003,-182526.445,-190525.00999999998,1976030585.205,-272517838.308,-128902.372,-156789.895,-59517.02,-692739.368,-387534.898,-960803.1500000001,-10206.573000000004,-54439.695999999996,-3954774.009,-318630.625,-440097.77,-272517844.795,39590490.692,-84447.032,59862.413,41103.0105,142414.736,70709.754,109577.5109,57889.401999999995,73270.686,160378.84100000001,21401.074999999997,255720.39,-128902.37599999999,-84447.02784000001,13422279.128000002
1476.0199999999998,116725.31399999998,41015.1759,146751.014,40217.713110000004,204671.26,139358.18300000002,15703.4357,-63500.545,78576.546,137652.52899999998,-142604.158,-160924.434,59789.441999999995,41015.1758,99258.42,102915.174,58053.281,136859.806,87920.93400000001,16739.0973,-5765.45,59695.9112,166859.407,-89599.878,-61323.033,41090.9472882,146751.01,102915.174,640846.5549999999,107150.086,260481.59000000003,197346.731,64393.985,-223919.08000000002,151893.508,416229.06,-521485.898,-714193.947,142330.893,40217.7128,58053.281,107150.08499999999,702994.9580000001,172414.674,139932.831,11242.003,-112196.04999999999,70836.747,255669.94,-264367.448,-395805.29699999996,70697.196,204671.25999999998,136859.802,260481.595,172414.668,1493153.41,237420.881,89031.7,-85752.52100000001,200289.568,441507.82999999996,-611159.4380000001,-975144.107,109565.67499999999,139358.183,87920.935,197346.72499999998,139932.82799999998,237420.88,1256941.851,55064.425,-39569.038,132842.293,420061.98,105544.582,-14085.142999999996,57824.952,15703.435999999998,16739.096999999998,64393.985,11242.003,89031.702,55064.424000000006,17837677.463,5870.641,33769.289000000004,118741.949,43675.092000000004,-55739.938,73248.956,-63500.54,-5765.450000000004,-223919.07499999998,-112196.05200000001,-85752.52,-39569.03899999999,5870.641,63132626.17999999,-23378.336999999992,242201.13,-3481107.6380000003,-4067498.3370000003,160249.343,78576.545,59695.911,151893.503,70836.747,200289.568,132842.293,33769.289,-23378.337,23375306.578,148880.417,-189874.258,-326085.077,21392.332,137652.529,166859.412,416229.05500000005,255669.93800000002,441507.83,420061.971,118741.95,242201.13,148880.418,5371962.630000001,-208810.858,-458611.847,255710.103,-142604.16,-89599.878,-521485.895,-264367.44200000004,-611159.4400000001,105544.58300000001,43675.09,-3481107.6199999996,-189874.25199999998,-208810.86000000004,1936301988.462,-278166404.137,-133249.217,-160924.43000000002,-61323.032999999996,-714193.9450000001,-395805.292,-975144.0900000001,-14085.144,-55739.937999999995,-4067498.32,-326085.082,-458611.85,-278166411.538,42085588.863,-88850.62700000001,59789.441999999995,41090.9476,142330.889,70697.197,109565.6772,57824.952000000005,73248.956,160249.35,21392.333000000002,255710.09999999998,-133249.21600000001,-88850.6278,13434428.683
1477.3599999999997,116793.807,41026.2045,146697.427,40241.00898,204706.12,139349.876,15733.5932,-63508.859000000004,78632.19099999999,137646.479,-146937.80200000003,-165285.202,59716.292,41026.2048,99329.244,102892.57999999999,58088.588,136895.751,87921.362,16755.1571,-5839.4133,59723.3696,166898.556,-91529.63900000001,-63226.72799999999,41078.8233456,146697.431,102892.581,641076.124,107094.025,260406.91,197287.34399999998,64356.98,-224311.911,151844.883,416104.77999999997,-543748.097,-736808.88,142246.20500000002,40241.0087,58088.587,107094.02399999999,703646.21,172424.3,140073.64299999998,11276.161,-112377.871,70859.524,255638.41999999998,-272949.917,-404525.45999999996,70684.295,204706.121,136895.753,260406.914,172424.30000000002,1494302.09,237452.50400000002,89118.75,-86133.011,200340.593,441461.41,-626240.757,-990388.81,109553.18,139349.875,87921.361,197287.34399999998,140073.63999999998,237452.5,1257729.064,55058.65,-39590.558,132859.82,419997.04,101504.793,-18200.944999999992,57760.358,15733.594000000001,16755.156999999996,64356.979999999996,11276.161,89118.749,55058.651,17853821.517,5823.604000000001,33793.952999999994,118778.72,42350.672999999995,-57109.06899999999,73227.19099999999,-63508.859000000004,-5839.414000000004,-224311.90600000002,-112377.88,-86133.01000000001,-39590.556,5823.602999999999,62682725.149000004,-23504.310999999994,241879.27000000002,-3597702.587,-4186197.99,160115.365,78632.19099999999,59723.369,151844.884,70859.524,200340.587,132859.82,33793.952,-23504.311,23396620.263,148845.501,-197596.35700000002,-333936.99,21383.294,137646.479,166898.55299999999,416104.77400000003,255638.42,441461.41000000003,419997.044,118778.72,241879.269,148845.502,5376025.7,-228176.16700000002,-478252.44,255699.025,-146937.799,-91529.63700000002,-543748.096,-272949.91000000003,-626240.75,101504.795,42350.67,-3597702.551,-197596.357,-228176.16999999998,1896855471.813,-284124037.29,-137827.735,-165285.199,-63226.727999999996,-736808.876,-404525.46,-990388.8099999999,-18200.944000000003,-57109.068999999996,-4186197.951,-333936.987,-478252.44,-284124038.187,44812149.71,-93495.57500000001,59716.292,41078.8235,142246.205,70684.295,109553.1791,57760.359,73227.19099999999,160115.369,21383.293999999998,255699.02000000002,-137827.73500000002,-93495.57999999999,13446575.125
1478.6999999999996,116862.124,41037.174,146642.984,40263.96647,204740.33000000002,139341.418,15763.7121,-63521.708,78687.54800000001,137639.584,-151503.47,-169891.247,59642.948000000004,41037.1743,99400.019,102869.631,58123.770000000004,136931.42700000003,87921.73800000001,16771.2135,-5915.341700000001,59750.7191,166937.329,-93558.083,-65236.344,41066.6345774,146642.989,102869.631,641303.409,107036.224,260328.83000000002,197227.11200000002,64319.725,-224728.067,151794.736,415976.26,-567213.893,-760682.085,142160.615,40263.9669,58123.77,107036.22399999999,704298.502,172432.59100000001,140214.124,11310.229000000001,-112568.737,70881.714,255605.21000000002,-281993.243,-413733.535,70671.02,204740.32900000003,136931.425,260328.829,172432.592,1495451.37,237483.442,89205.611,-86531.152,200390.446,441411.62,-642243.683,-1006612.395,109539.973,139341.419,87921.738,197227.109,140214.122,237483.45,1258515.062,55052.848,-39616.753,132877.052,419931.3,97219.857,-22574.425000000003,57695.607,15763.712,16771.212999999996,64319.72499999999,11310.228,89205.61000000002,55052.848000000005,17869955.54,5775.1709999999985,33818.546,118815.232,40958.037,-58552.928,73205.388,-63521.710999999996,-5915.342000000004,-224728.06100000002,-112568.738,-86531.15,-39616.758,5775.171000000002,62236524.60300001,-23638.299,241535.25,-3720491.3529999997,-4311374.585,159976.535,78687.54800000001,59750.719,151794.733,70881.713,200390.44300000003,132877.052,33818.546,-23638.299,23417938.766,148809.064,-205725.043,-342219.955,21373.936,137639.582,166937.32499999998,415976.25899999996,255605.202,441411.62,419931.292,118815.23000000001,241535.24300000002,148809.06300000002,5380090.43,-248713.223,-499115.45499999996,255687.095,-151503.47100000002,-93558.085,-567213.9010000001,-281993.238,-642243.69,97219.86,40958.035,-3720491.397,-205725.044,-248713.22999999998,1857654424.947,-290416818.485,-142657.565,-169891.251,-65236.345,-760682.081,-413733.528,-1006612.4299999999,-22574.425999999992,-58552.92799999999,-4311374.597,-342219.95399999997,-499115.46,-290416815.053,47799630.515,-98402.345,59642.949,41066.6348,142160.611,70671.02,109539.97240000001,57695.607,73205.388,159976.533,21373.936,255687.09999999998,-142657.563,-98402.3471,13458717.445
1480.0399999999995,116930.246,41048.0787,146587.613,40286.556580000004,204773.81,139332.801,15793.7869,-63539.483,78742.592,137631.769,-156321.533,-174763.78399999999,59569.394,41048.0784,99470.738,102846.295,58158.816000000006,136966.807,87922.06,16787.2641,-5993.4013,59777.9504,166975.692,-95694.02500000001,-67361.053,41054.37608713,146587.613,102846.296,641528.275,106976.532,260247.03999999998,197165.957,64282.19899999999,-225169.553,151742.921,415843.14,-591987.887,-785922.608,142074.032,40286.556699999994,58158.816999999995,106976.532,704951.937,172439.426,140354.247,11344.196999999998,-112769.413,70903.266,255570.15000000002,-291538.217,-423471.948,70657.341,204773.81300000002,136966.813,260247.045,172439.42700000003,1496601.31,237513.647,89292.264,-86948.49399999999,200439.031,441358.18,-659248.9469999999,-1023898.548,109525.991,139332.80099999998,87922.06,197165.95500000002,140354.247,237513.64,1259299.7370000002,55047.016,-39648.045,132893.964,419864.66000000003,92667.85299999999,-27228.357999999993,57630.686,15793.786999999997,16787.264,64282.19900000001,11344.197000000004,89292.263,55047.016,17886080.527,5725.222,33843.062000000005,118851.463,39490.922999999995,-60078.01899999999,73183.545,-63539.48700000001,-5993.400999999998,-225169.55500000002,-112769.41299999999,-86948.49,-39648.04299999999,5725.222999999998,61793953.327,-23780.991,241167.09999999998,-3850009.5069999998,-4443586.757999999,159832.422,78742.592,59777.95,151742.919,70903.265,200439.02899999998,132893.964,33843.061,-23780.992,23439264.071,148770.973,-214296.227,-350971.398,21364.231999999996,137631.765,166975.693,415843.135,255570.147,441358.17,419864.657,118851.459,241167.09699999998,148770.97,5384157.27,-270524.707,-521307.668,255674.23200000002,-156321.537,-95694.027,-591987.885,-291538.213,-659248.9500000001,92667.85,39490.918999999994,-3850009.4729999998,-214296.229,-270524.69999999995,1818659236.3929996,-297073779.658,-147760.55800000002,-174763.787,-67361.057,-785922.605,-423471.95300000004,-1023898.59,-27228.362999999998,-60078.019,-4443586.773,-350971.399,-521307.6699999999,-297073773.607,51082315.342,-103593.72799999999,59569.394,41054.3761,142074.029,70657.34,109525.9904,57630.686,73183.545,159832.417,21364.232000000004,255674.24,-147760.55800000002,-103593.7243,13470856.632
1481.3799999999994,116998.158,41058.913400000005,146531.231,40308.74593,204806.51,139324.008,15823.8152,-63562.621999999996,78797.295,137622.946,-161414.727,-179926.491,59495.61,41058.9131,99541.397,102822.541,58193.715,137001.865,87922.32400000001,16803.309699999998,-6073.7789,59805.0521,167013.604,-97947.296,-69611.09300000001,41042.04181021,146531.233,102822.541,641750.5920000001,106914.78,260161.21000000002,197103.787,64244.379,-225638.62000000002,151689.299,415704.99,-618186.8300000001,-812652.21,141986.373,40308.7463,58193.716,106914.78,705606.645,172444.672,140493.979,11378.056999999999,-112980.78,70924.121,255533.08,-301630.33999999997,-433788.12,70643.219,204806.51299999998,137001.872,260161.212,172444.675,1497752.27,237543.027,89378.693,-87386.769,200486.229,441300.74,-677346.61,-1042340.79,109511.16500000001,139324.008,87922.324,197103.79200000002,140493.97499999998,237543.02999999997,1260082.977,55041.152,-39684.9,132910.527,419797.05,87824.29000000001,-32188.176000000007,57565.579,15823.815000000002,16803.31,64244.379,11378.056999999997,89378.69099999999,55041.152,17902194.476,5673.624999999998,33867.493,118887.386,37942.34000000001,-61691.597,73161.659,-63562.617,-6073.779000000002,-225638.62800000003,-112980.775,-87386.77,-39684.90299999999,5673.625,61354932.08,-23933.157999999996,240772.63,-3986854.65,-4583458.2299999995,159682.553,78797.295,59805.051999999996,151689.294,70924.121,200486.22999999998,132910.527,33867.493,-23933.158,23460595.159,148731.074,-223350.03,-360233.1,21354.15,137622.947,167013.60199999998,415704.99199999997,255533.085,441300.74,419797.057,118887.38699999999,240772.62999999998,148731.075,5388226.76,-293725.18,-544948.27,255660.353,-161414.727,-97947.29800000001,-618186.828,-301630.335,-677346.61,87824.291,37942.335999999996,-3986854.62,-223350.03100000002,-293725.18,1779827493.35,-304127314.13,-153161.137,-179926.48700000002,-69611.08799999999,-812652.208,-433788.115,-1042340.83,-32188.172999999995,-61691.598,-4583458.22,-360233.101,-544948.27,-304127306.65,54700291.87,-109095.16699999999,59495.61,41042.0421,141986.37,70643.219,109511.1631,57565.579000000005,73161.659,159682.56,21354.15,255660.35,-153161.13299999997,-109095.168,13482991.673
1482.7199999999991,117065.84,41069.670399999995,146473.747,40330.496569999996,204838.35,139315.024,15853.791500000001,-63591.617,78851.625,137613.035,-166808.49099999998,-185405.888,59421.57399999999,41069.6711,99611.986,102798.331,58228.452999999994,137036.577,87922.523,16819.348700000002,-6156.6856,59832.0126,167051.037,-100328.89,-71997.92300000001,41029.62565939999,146473.745,102798.33,641970.185,106850.78,260070.97000000003,197040.51799999998,64206.239,-226137.80000000002,151633.69,415561.33999999997,-645941.4519999999,-841007.29,141897.53399999999,40330.4971,58228.452,106850.781,706262.773,172448.18800000002,140633.28399999999,11411.798,-113203.81,70944.214,255493.83,-312320.55199999997,-444735.09,70628.61499999999,204838.345,137036.575,260070.975,172448.183,1498904.21,237571.528,89464.874,-87847.91900000001,200531.92,441238.95999999996,-696637.472,-1062043.84,109495.41500000001,139315.025,87922.52299999999,197040.515,140633.283,237571.53000000003,1260864.668,55035.254,-39727.848,132926.708,419728.39,82661.78800000002,-37482.36800000001,57500.26699999999,15853.791999999998,16819.348999999995,64206.240000000005,11411.797999999999,89464.876,55035.254,17918295.382,5620.225999999999,33891.83,118922.98499999999,36304.478,-63401.79000000001,73139.727,-63591.615,-6156.6860000000015,-226137.79499999998,-113203.807,-87847.92,-39727.852,5620.226000000002,60919380.59,-24095.662000000004,240349.38,-4131696.002,-4731687.32,159526.414,78851.625,59832.011999999995,151633.69400000002,70944.214,200531.92200000002,132926.70799999998,33891.83,-24095.663,23481933.009999998,148689.21399999998,-232931.332,-370051.84,21343.656999999996,137613.036,167051.035,415561.34500000003,255493.83299999998,441238.96,419728.38800000004,118922.985,240349.38,148689.215,5392299.65,-318442.822,-570170.6799999999,255645.364,-166808.495,-100328.89499999999,-645941.4550000001,-312320.547,-696637.4700000001,82661.7868,36304.476,-4131696.0100000002,-232931.33000000002,-318442.81999999995,1741112981.498,-311613656.82,-158886.626,-185405.885,-71997.91500000001,-841007.2849999999,-444735.087,-1062043.79,-37482.361999999994,-63401.78600000001,-4731687.3100000005,-370051.83999999997,-570170.6699999999,-311613658.502,58700670.18,-114935.196,59421.57399999999,41029.6256,141897.537,70628.61499999999,109495.4171,57500.26700000001,73139.727,159526.41,21343.657000000003,255645.36,-158886.625,-114935.201,13495122.554
